'A'ali'i
'Aiakanene
'Awapuhi
'Awapuhi kuahiwi
'Awapuhi melemele
A'ali'i
Aerial Yam
African Arrowroot
African Tulip Tree
African Tuliptree
Ageratum
Aiakanene
Aiea Morning-glory
Air Plant
Air Potato
Air Yam
Albizia, Molucca
Albizia, Moluccan
Alexandra Palm
Ali'ipoe
Allamanda
Allamanda, Yellow
Alligator Pear
Ama'u
Ama'uma'u
Amaumau Fern
Amazon Blue
American Black Nightshade
American Mangrove
Anemone, Hupeh
Anemone, Japanese
Anthurium
Apple, Malay
Apple, Malaysian
Apple, Mountain
Apple, Rose
Arabian Coffee
Arabica Coffee
Araucaria, Columnar
Araucaria, Cook
Arborvine, Spanish
Arrowroot, African
Arthrostemma
Asian Butterfly Bush
Asystasia
Atro
Australasian Geranium
Australian Beefwood
Australian Pine
Australian Silky-oak
Autograph Tree
Autumn Gold
Avocado
Awapuhi
Awapuhi kuahiwi
Awapuhi melemele
Balsam-apple
Balsam-pear
Balsampear
Bamboo Orchid
Banana
Banana, Edible
Banana, Flowering
Banana, Ornamental
Bangalow Palm, Northern
Barleria, Creeping
Barleria, Red
Batai
Bataiwood
Bay Biscayne Creeping-oxeye
Be-still Tree
Beach Hibiscus
Beach Naupaka
Beach Poppy
Beach Sheoak
Bead Vine
Bean, Jumbie
Bean, Phasey
Bean, Precatory
Bean, Sea
Beefwood, Australian
Beggarlice
Bengal Clock Vine
Bengal Trumpet
Big Taper
Bingabing
Bird of Paradise
Bird of Paradise Flower
Bird-of-paradise
Bird-of-Paradise, False
Bitter Cucumber
Bitter Ginger
Bitter Gourd
Bitter Melon
Bitter Yam
Black Nightshade, American
Black-eyed Susan
Black-eyed Susan Vine
Black-fruited Coprosma
Blackberry, Highbush
Blackberry, Prickly Florida
Blackberry, Sawtooth
Blackeyed Susan Vine
Blue Butterfly Bush
Blue Cat's Whiskers
Blue Dawn Flower
Blue Ginger
Blue Glory Bower
Blue Glorybower
Blue Ice Calathea
Blue Morning Glory
Blue Morningglory
Blue Trumpet Vine
Blue-ginger
Blueberry, Hawaiian
Bougainvillea
Brackenridge's Rosemallow
Bramble, Rose-leaf
Brazilian Pepper
Brazilian Pepper-tree
Brazilian Peppertree
Brazilian Snapdragon
Brazilian Stink Grass
Breadfruit
Breadfruit, Mexican
Bristlegrass, Broadleaved
Broadleaved Bristlegrass
Bush Bean, Wild
Bush Currant
Bush Violet, Small
Bush-bean, Purple
Bushbean, Purple
Bushbean, Wild
Butterfly Bush, Asian
Butterfly Bush, Blue
Butterfly Clerodendrum
Butterfly Ginger
Calathea, Blue Ice
Calathea, Ice Blue
Calathea, White Ice
Candle Bush
Candlebush
Candlenut
Candlestick Senna
Candlewick
Canereed
Canna, Edible
Canna, Wild
Cape Leadwort
Cape Plumbago
Cardinal's Hat
Carilla Gourd
Castor Bean
Castor Oil Plant
Castorbean
Casuarina, Horsetail
Cat's Whiskers, Blue
Cathedral Bells
Cattletongue
Cattley Guava
Centipede Tongavine
Cestrum, Night
Cestrum, Night-flowering
Chandelier Tree
Chinese Ground Orchid
Chinese Hibiscus
Chinese Lantern
Chinese Violet, Small
Christmas Berry
Christmas Tree Clubmoss
Christmas-candle
Clerodendrum, Butterfly
Clidemia
Climbing Dayflower
Climbing Fern
Clock Vine, Bengal
Clock-vine, Sweet
Clock-vine, White
Club-moss, Nodding
Clubmoss, Christmas Tree
Clubmoss, Staghorn
Clusia, Florida
Coconut Palm
Coffee
Coffee, Arabian
Coffee, Arabica
Coffee, Kona
Coleus
Coleus, Common
Columnar Araucaria
Common Coleus
Common Ironwood
Common Mullein
Cook Araucaria
Cook Pine
Copey
Coprosma, Black-fruited
Coral Creeper
Coral Hibiscus
Coral-beadplant
Cow Pea
Cowpea
Crab Claw
Crab's Eye
Crane Flower
Crane Lily
Crape Ginger
Crassocephalum
Cream Garland-lily
Cream Ginger
Creeping Barleria
Creeping Daisy
Creeping Foxglove
Creeping Ox-Eye
Creeping-oxeye, Bay Biscayne
Crepe Ginger
Crimson Passionflower
Cucumber, Bitter
Cupid's Shaving Brush
Cure For All
Currant, Bush
Daisy, Creeping
Daisy, Singapore
Daisy, Trailing
Day Flower
Dayflower, Climbing
Dayflower, Spreading
Desmodium, Green Leaf
Desmodium, Greenleaf
Devil's Ivy
Dog Tail
Dogtail
Dracaena, Reflexed
Edible Banana
Edible Canna
Efwatakala Grass
Ekoa
Emilia
Emperor's Candlesticks
Expanded Lobster Claw
Expanded Lobsterclaw
False Bird of Paradise
False Bird-of-Paradise
False Staghorn
Fence Morning-glory
Fern, Amaumau
Fern, Climbing
Fern, Hawaiian Tree
Fern, Maile-Scented
Fern, Musk
Fern, Rasp
Fern, Wart
Fiddlewood
Field Indian Paintbrush
Fire Spike
Fireball
Firebird
Firecracker Hibiscus
Firespike
Flamboyant
Flame of the Forest
Flame Tree
Flame Tree
Flamingo Flower
Flamingo-lily
Flannel Plant
Flora's Paintbrush
Flora's Paintbrush
Florida Clusia
Florida Hopbush
Florida Tasselflower
Flossflower
Flowering Banana
Foliage Flower
Forkedfern, Old World
Fountain Tree
Foxglove, Creeping
Frangipani
Frangipani
Fringed Hibiscus
Fringed Rosemallow
Galangal, Light
Garden Nasturtium
Garland-lily, Cream
Garland-lily, Kahila
Garland-lily, White
Geranium, Australasian
Geranium, Silver
Giant Spiral Ginger
Ginger, Bitter
Ginger, Blue
Ginger, Butterfly
Ginger, Crape
Ginger, Cream
Ginger, Crepe
Ginger, Giant Spiral
Ginger, Indian Head
Ginger, Indianhead
Ginger, Indonesian Wax
Ginger, Kahili
Ginger, Malay
Ginger, Pineapple
Ginger, Pinecone
Ginger, Rattlesnake
Ginger, Red
Ginger, Red Tower
Ginger, Red Wax
Ginger, Shampoo
Ginger, Shell
Ginger, Spiral
Ginger, Torch
Ginger, White
Ginger, Wild
Ginger, Yellow
Glory Bower, Blue
Glory Bush, Purple
Glorybower, Blue
Glorybush
Glossy Nightshade
Golden Candle
Golden Lobster Claw
Golden Pothos
Golden Pothos Vine
Golden Trumpet
Goldenaster, Silk-grass
Good Luck Plant, Hawaiian
Gourd, Bitter
Gourd, Carilla
Grape-leaved Passion Fruit
Grape, Sea
Grass, Brazilian Stink
Grass, Efwatakala
Grass, Molasses
Grass, Palm
Graveyard Flower, Singapore
Green Cancer
Green Leaf Desmodium
Greenleaf Desmodium
Greenleaf Tick Trefoil
Greenleaf Ticktrefoil
Ground Orchid, Chinese
Ground Orchid, Philippine
Guarumo
Guava
Guava, Cattley
Guava, Strawberry
Hailans Pitpit
Hala
Half-flower
Hanging Heliconia
Hanging Lobster Claw
Hapu'u
Hau
Hawaiian Blueberry
Hawaiian Good Luck Plant
Hawaiian Hopseed Bush
Hawaiian Poppy
Hawaiian Prickly Poppy
Hawaiian Sumac
Hawaiian Tree Fern
Hawaiian Wood-rose
Heliconia, Hanging
Heliconia, Parakeet
Hibiscus, Beach
Hibiscus, Chinese
Hibiscus, Coral
Hibiscus, Firecracker
Hibiscus, Fringed
Hibiscus, Native Yellow
Hibiscus, Red
Hibiscus, Sea
Hibiscus, Skeleton
Hibiscus, Sleeping
Hibiscus, Tropical
Hierba del Soldado
Highbush Blackberry
Highland Pitpit
Hinahina
Hoi
Hopbush, Florida
Hopseed Bush, Hawaiian
Horse Tamarind
Horsetail Casuarina
Hupeh Anemone
Ice Blue Calathea
Indian Head Ginger
Indian Mulberry
Indian Paintbrush, Field
Indian Shot
Indian Tulip Tree
Indian Walnut
Indianhead Ginger
Indonesian Wax Ginger
Ironwood, Common
Ivy Palm
Ivy, Devil's
Japanese Anemone
Japanese Lantern
Japanese Thimbleweed
Japanese Windflower
Jasmine, Night
Jasmine, Night-blooming
Jequirity Pea
Jessamine, Night
Jessamine, Night-scented
Jumbie Bean
Juniper Berry
Kahila Garland-lily
Kahili Ginger
Kala
Kapa-kapa
Ki
King Palm
Knotweed, Pink
Knotweed, Pinkhead
Ko
Koa Haole
Koali
Koali 'Awa
Koali Ai
Kona Coffee
Koster's Curse
Kou
Kowali
Kuawa
Kuikui
Kukaenene
Kukui
Kumakani
Lady of the Night
Lantana
Large-flowered Pink Sorrel
Large-flowered Thunbergia
Lasiandra
Laua'e
Lead Tree
Leadtree, White
Leadwort, Cape
Leucaena
Li'ipoe
Life Plant
Light Galangal
Lilac Oxalis
Lilac Tasselflower
Liliko'i
Lilikoi
Lily, Crane
Lily, Pink Porcelain
Little Bell
Littlebell
Lobster Claw, Expanded
Lobster Claw, Golden
Lobster Claw, Hanging
Lobster-claw
Lobsterclaw, Expanded
Luckynut
Ma'o Hau Hele
Macaw Flower
Macawflower
Madam Fate
Madamfate
Mahoe
Mahoe, Seaside
Maile Hohono
Maile Honohono
Maile Kula
Maile Pilau
Maile-Scented Fern
Malay Apple
Malay Ginger
Malaysian Apple
Malaysian Orchid
Mallow, Sleepy
Mamane
Mamani
Manako
Manfern
Mango
Mangrove, American
Mangrove, Red
Mazapan
Medinilla, Showy
Melochia
Melon, Bitter
Mexican Breadfruit
Mexican Plumeria
Mexican Primrose-willow
Miconia
Mile A Minute Vine
Milo
Miracle Leaf
Molasses Grass
Molassesgrass
Molucca Albizia
Moluccan Albizia
Moluccan Sau
Monster Fruit
Monstera
Montbretia
Montebretia
Moon Flower
Moon Vine
Moonflower
Morning Glory, Blue
Morning-glory, Aiea
Morning-glory, Fence
Morning-glory, Obscure
Morning-glory, Oceanblue
Morning-glory, Three-lobe
Morning-glory, Three-lobed
Morning-glory, Tropical White
Morning-glory, Yellow
Morningglory, Blue
Moth Mullein
Mottled Toothedthread
Mountain Apple
Mulberry, Indian
Mullein, Common
Mullein, Moth
Mullein, White Moth
Mullein, Woolly
Musk Fern
Narrow-leaf Water-primrose
Nasturtium
Nasturtium, Garden
Native Yellow Hibiscus
Naule
Naupaka Kahakai
Naupaka, Beach
Neleau
Nene Berry
Nene Bush
Neneleau
Nettle, Painted
New Caledonia Pine
Night Cestrum
Night Jasmine
Night Jessamine
Night-blooming Jasmine
Night-flowering Cestrum
Night-scented Jessamine
Nightshade, American Black
Nightshade, Glossy
Nightshade, Small-flowered
Niu
Nodding Club-moss
Noni
Northern Bangalow Palm
Nun's Orchid
Nun's-hood Orchid
'Olohua
'Ohi'a 'Ai
Obscure Morning-glory
Oceanblue Morning-glory
