Lemon Yellow (Nickel Titanate)
Bismuth Yellow
Cadmium-Free Lemon
Cadmium Lemon
Winsor Lemon
Winsor Yellow
Lemon Yellow Deep
Aureolin
Transparent Yellow
Cadmium-Free Yellow Pale
Cadmium Yellow Pale
Turner's Yellow
New Gamboge
Cadmium Yellow
Cadmium-Free Yellow
Winsor Yellow Deep
Indian Yellow
Cadmium Yellow Deep
Cadmium-Free Yellow Deep
Cadmium Orange
Cadmium-Free Orange
Winsor Orange
Winsor Orange (Red Shade)
Transparent Orange
Cadmium Scarlet
Cadmium-Free Scarlet
Scarlet Lake
Cadmium Red
Cadmium-Free Red
Cadmium Red Deep
Cadmium-Free Red Deep
Winsor Red
Rose Dore
Quinacridone Red
Winsor Red Deep
Permanent Alizarin Crimson
Alizarin Crimson
Permanent Carmine
Permanent Rose
Rose Madder Genuine
Opera Rose
Quinacridone Magenta
Permanent Magenta
Cobalt Violet
Permanent Mauve
Quinacridone Violet
Ultramarine Violet
Winsor Violet (Dioxazine)
Indanthrene Blue
Smalt (Dumont's Blue)
Cobalt Blue Deep
French Ultramarine
Ultramarine (Green Shade)
Cobalt Blue
Winsor Blue (Red Shade)
Antwerp Blue
Prussian Blue
Winsor Blue (Green Shade)
Cerulean Blue (Red Shade)
Cerulean Blue
Manganese Blue Hue
Phthalo Turquoise
Cobalt Turquoise Light
Cobalt Turquoise
Aqua Green
Cobalt Green
Cobalt Green Deep
Winsor Green (Blue Shade)
Viridian
Winsor Green (Yellow shade)
Terre Verte
Perylene Green
Oxide of Chromium
Hooker's Green
Permanent Sap Green
Olive Green
Terre Verte (Yellow Shade)
Green Gold
Naples Yellow
Naples Yellow Deep
Yellow Ochre Light
Yellow Ochre
Raw Sienna
Gold Ochre
Quinacridone Gold
Brown Ochre
Magnesium Brown
Burnt Sienna
Light Red
Venetian Red
Indian Red
Brown Madder
Potter's Pink
Perylene Maroon
Perylene Violet
Caput Mortuum Violet
Raw Umber
Burnt Umber
Vandyke Brown
Sepia
Indigo
Payne's Gray
Neutral Tint
Ivory Black
Lamp Black
Mars Black
Davy's Gray
Chinese White
Titanium White (Opaque White)
